Table 24: News Items Heard of Recent Changes in Business Conditions,,,,,,,,,,,,,,,,,,,
Month,Year,Favorable<br>Government: elections,Favorable<br>Employment,Favorable<br>Higher Consumer Demand,Favorable<br>Lower Prices,Favorable<br>Easier Credit,Favorable<br>Stock Market,Favorable<br>Trade Deficit,Unfavorable<br>Government: elections,Unfavorable<br>Unemployment,Unfavorable<br>Lower Consumer Demand,Unfavorable<br>Higher Prices,Unfavorable<br>Tighter Credit,Unfavorable<br>Energy Crisis,Unfavorable<br>Stock Market,Unfavorable<br>Trade Deficit,Relative: prices,Relative: employment,Relative: government
1,2000,1,12,2,2,1,6,1,1,10,0,1,5,0,5,0,1,2,0
2,2000,1,12,2,0,2,4,1,1,11,2,3,7,0,2,0,-3,1,0
3,2000,0,10,1,0,1,4,0,1,13,1,13,9,0,6,0,-13,-3,-1
4,2000,1,10,1,1,1,3,0,1,10,1,8,6,0,8,0,-7,0,0
5,2000,1,9,2,0,0,3,0,2,13,1,5,8,0,10,0,-5,-4,-1
6,2000,1,7,1,1,0,2,0,0,13,2,7,11,0,10,2,-6,-6,1
7,2000,1,10,1,1,1,3,1,2,13,1,8,8,0,8,1,-7,-3,-1
8,2000,0,9,0,1,1,1,0,1,13,1,7,8,0,6,1,-6,-4,-1
9,2000,1,6,0,1,2,2,0,2,12,2,7,4,0,3,1,-6,-6,-1
10,2000,0,7,0,0,0,2,0,2,13,1,11,3,0,7,1,-11,-6,-2
11,2000,1,7,1,0,1,1,0,2,16,3,6,2,0,10,1,-6,-9,-1
12,2000,1,6,1,0,1,1,0,5,15,2,3,2,0,11,0,-3,-9,-4
1,2001,1,3,1,0,7,1,0,3,31,6,5,3,0,15,1,-5,-28,-2
2,2001,2,4,0,0,5,0,0,2,49,4,5,1,1,11,1,-5,-45,0
3,2001,3,8,0,0,4,1,0,3,38,4,4,1,0,16,0,-4,-30,0
4,2001,0,2,0,0,3,0,0,2,43,4,4,1,0,22,0,-4,-41,-2
5,2001,0,4,1,0,4,1,0,2,44,4,9,0,1,12,0,-9,-40,-2
6,2001,2,6,0,0,3,3,0,1,38,2,7,1,1,7,1,-7,-32,1
7,2001,3,4,1,1,5,1,0,1,37,3,1,1,1,11,0,0,-33,2
8,2001,1,6,1,1,3,0,0,3,41,3,3,0,0,10,1,-2,-35,-2
9,2001,0,3,0,0,4,1,0,8,48,6,2,1,0,16,1,-2,-45,-8
10,2001,1,4,0,0,4,1,0,19,48,8,2,1,0,17,1,-2,-44,-18
11,2001,1,3,1,1,4,1,0,11,51,11,0,0,0,9,0,1,-48,-10
12,2001,1,4,1,1,5,1,0,12,51,10,0,0,0,8,1,1,-47,-11
1,2002,1,5,2,0,3,2,0,10,55,7,0,0,0,6,1,0,-50,-9
2,2002,1,8,2,0,3,1,0,9,60,8,1,0,0,8,0,-1,-52,-8
3,2002,1,10,2,0,1,4,0,8,50,2,2,0,0,4,0,-2,-40,-7
4,2002,1,11,5,0,2,5,1,3,41,4,5,1,0,3,1,-5,-30,-2
5,2002,1,8,2,0,3,3,0,5,35,4,3,1,0,5,1,-3,-27,-4
6,2002,0,11,2,0,2,2,0,4,37,4,1,0,0,10,1,-1,-26,-4
7,2002,1,4,1,0,2,1,0,4,35,2,1,0,0,18,0,-1,-31,-3
8,2002,2,4,1,1,1,1,0,2,32,3,1,0,0,20,0,0,-28,0
9,2002,2,7,2,0,3,1,0,5,38,4,1,0,0,11,0,-1,-31,-3
10,2002,3,4,1,0,2,2,0,5,35,5,1,1,0,15,1,-1,-31,-2
11,2002,2,6,1,0,3,2,0,5,39,7,2,0,0,9,1,-2,-33,-3
12,2002,1,7,5,1,2,4,0,5,38,4,1,0,0,6,0,0,-31,-4
1,2003,4,7,1,1,3,3,0,7,44,8,1,0,0,5,0,0,-37,-3
2,2003,2,9,1,0,3,2,0,8,38,5,4,0,0,8,1,-4,-29,-6
3,2003,3,7,1,1,2,1,0,9,40,7,8,0,0,9,2,-7,-33,-6
4,2003,3,5,0,1,2,3,0,9,41,5,2,0,0,9,1,-1,-36,-6
5,2003,6,7,1,1,3,5,0,9,40,4,2,0,0,5,1,-1,-33,-3
6,2003,5,8,2,1,3,6,0,7,34,3,1,0,0,4,0,0,-26,-2
7,2003,2,7,1,0,6,7,0,5,33,2,2,0,0,2,1,-2,-26,-3
8,2003,2,10,3,0,4,6,0,4,33,3,1,1,0,4,1,-1,-23,-2
9,2003,2,11,2,0,2,6,0,5,38,4,3,1,0,2,2,-3,-27,-3
10,2003,1,13,1,0,1,8,0,7,33,3,1,0,0,2,2,-1,-20,-6
11,2003,1,21,3,0,1,8,0,4,27,2,2,0,0,1,2,-2,-6,-3
12,2003,2,19,6,0,2,10,1,4,23,5,1,1,0,2,3,-1,-4,-2
1,2004,1,19,5,1,2,11,0,4,23,3,1,0,0,1,3,0,-4,-3
2,2004,2,13,2,0,2,6,0,5,32,4,1,0,0,1,1,-1,-19,-3
3,2004,2,19,1,0,2,6,0,3,40,2,2,0,0,1,0,-2,-21,-1
4,2004,2,20,2,0,3,6,0,3,29,2,8,2,0,2,0,-8,-9,-1
5,2004,1,26,2,0,2,3,0,5,25,1,11,4,0,2,0,-11,1,-4
6,2004,1,27,3,0,2,4,0,6,25,3,10,2,0,1,0,-10,2,-5
7,2004,1,26,2,1,1,4,0,3,24,3,6,3,0,1,1,-5,2,-2
8,2004,2,18,1,1,1,2,0,3,29,4,6,2,0,3,0,-5,-11,-1
9,2004,2,15,2,0,1,1,0,6,33,4,3,1,0,1,1,-3,-18,-4
10,2004,3,15,2,0,2,2,0,5,28,1,8,1,0,1,0,-8,-13,-2
11,2004,3,17,0,1,1,3,0,6,22,4,6,3,0,0,1,-5,-5,-3
